mean_acc_[O_IFA],mean_acc_[SADWIN_IFA],mean_acc_[PADWIN_IFA],mean_acc_[NDKSWIN_IFA],mean_f1_[O_IFA],mean_f1_[SADWIN_IFA],mean_f1_[PADWIN_IFA],mean_f1_[NDKSWIN_IFA],mean_precision_[O_IFA],mean_precision_[SADWIN_IFA],mean_precision_[PADWIN_IFA],mean_precision_[NDKSWIN_IFA],mean_recall_[O_IFA],mean_recall_[SADWIN_IFA],mean_recall_[PADWIN_IFA],mean_recall_[NDKSWIN_IFA],mean_kappa_[O_IFA],mean_kappa_[SADWIN_IFA],mean_kappa_[PADWIN_IFA],mean_kappa_[NDKSWIN_IFA],mean_kappa_m_[O_IFA],mean_kappa_m_[SADWIN_IFA],mean_kappa_m_[PADWIN_IFA],mean_kappa_m_[NDKSWIN_IFA],window,estimators
0.463546,0.450045,0.442844,0.441344,0.412647,0.401519,0.399137,0.396063,0.320318,0.312759,0.314062,0.310346,0.315966,0.307895,0.309658,0.305526,-0.037114,-0.058208,-0.052588,-0.063780,-0.521702,-0.560000,-0.580426,-0.584681,100,30
0.407041,0.396240,0.419442,0.402740,0.382117,0.372794,0.394575,0.378498,0.320807,0.323040,0.336378,0.320124,0.306216,0.309313,0.320009,0.305940,-0.025477,-0.017681,0.007113,-0.025954,-0.681986,-0.712624,-0.646809,-0.694184,500,30
